MatchID,Longitude,Latitude,Street,Building,Bike Capacity,Rack Style,Weather Coverage,Notes
120,-80.00564913,40.43972796,Boulevard of the Allies,"",2,U-Rack,Outdoor,""
121,-80.00501281,40.43982381,Stanwix St,"",2,U-Rack,Outdoor,""
122,-80.00536098,40.43950715,Stanwix St,United Steelworkers Building,26,Multi,Indoor/Covered,""
123,-80.00603834,40.43877289,Stanwix St,First Niagra,10,Multi,Indoor/Covered,""
125,-80.0019355,40.43859191,Wood St,"",2,U-Rack,Outdoor,""
126,-79.99895768,40.44027074,5th Ave,"",2,U-Rack,Outdoor,""
127,-79.99782072,40.44079044,Oliver St,Mellon Sq Garage,16,3 Rivers Design,Indoor/Covered,"inside garage, southern entrance"
128,-80.00117544,40.43942012,Wood St,"",2,U-Rack,Outdoor,""
129,-80.00107344,40.43986903,Wood St,"",2,U-Rack,Outdoor,""
130,-80.00253103,40.43937051,Third Ave,Third Ave Garage,16,"",Indoor/Covered,in garage
131,-80.00278286,40.43857901,Boulevard of the Allies,Wood-Allies Garage,6,"",Indoor/Covered,in garage
